Date, Time, Ax, Ay, Az, Gx, Gy, Gz
2025-02-01, 10:29:57:61,-0.153,0.924,-0.352,0.061,0.305,0.061
2025-02-01, 10:29:58:12,-0.153,0.923,-0.352,0.061,0.305,0
2025-02-01, 10:29:58:63,-0.152,0.923,-0.352,-0.366,0.183,0
2025-02-01, 10:29:59:14,-0.153,0.923,-0.352,0.122,0.305,0.061
2025-02-01, 10:29:59:65,-0.153,0.924,-0.352,0.122,0.305,0.061
2025-02-01, 10:29:60:16,-0.153,0.924,-0.351,0.061,0.305,0
2025-02-01, 10:29:60:67,-0.153,0.923,-0.353,0.427,0.427,0.061
2025-02-01, 10:29:61:18,-0.153,0.924,-0.351,0.122,0.305,0.061
2025-02-01, 10:29:61:69,-0.153,0.924,-0.353,0,0.305,0.061
2025-02-01, 10:29:62:21,-0.153,0.922,-0.353,0.122,0.305,0.061
2025-02-01, 10:29:62:71,-0.152,0.924,-0.352,-0.122,0.305,-0.061
2025-02-01, 10:29:63:22,-0.153,0.924,-0.354,-0.122,0.244,0.061
2025-02-01, 10:29:63:73,-0.153,0.923,-0.352,0,0.244,-0.061
2025-02-01, 10:29:64:24,-0.151,0.923,-0.353,0.427,0.427,0.061
2025-02-01, 10:29:64:75,-0.152,0.923,-0.355,-0.122,0.244,0.061
2025-02-01, 10:29:65:26,-0.152,0.923,-0.355,0,0.305,0
2025-02-01, 10:29:65:77,-0.152,0.922,-0.355,0,0.305,0.061
2025-02-01, 10:29:66:28,-0.152,0.922,-0.354,0,0.305,0
2025-02-01, 10:29:66:79,-0.152,0.923,-0.354,0,0.305,0
2025-02-01, 10:29:67:30,-0.152,0.923,-0.355,-0.061,0.305,0.061
2025-02-01, 10:29:67:81,-0.151,0.923,-0.355,0.061,0.305,0.061
2025-02-01, 10:29:68:32,-0.152,0.922,-0.354,0.061,0.305,0.061
2025-02-01, 10:29:68:82,-0.152,0.923,-0.354,-0.122,0.305,0
2025-02-01, 10:29:69:33,-0.152,0.923,-0.355,0.122,0.305,0.061
2025-02-01, 10:29:69:84,-0.15,0.919,-0.364,0.183,0.366,0.122
